score,label,segment
0.35367665723356584,1.0,2
0.2485580660782393,0.0,1
0.4159590873381714,1.0,2
0.15996757580999196,1.0,0
0.5502830780616322,0.0,3
0.11094528759339801,0.0,0
0.5098966417920571,0.0,3
0.17727037947274454,0.0,0
0.19829047191334442,0.0,1
0.37623678821354994,0.0,2
0.5434668040445325,0.0,3
0.08476376294265023,0.0,0
0.3579287927839609,0.0,2
0.2733207739503824,0.0,1
0.13437614109485027,0.0,0
0.35325485000480755,1.0,2
0.13279012143275798,0.0,0
0.32643436842516804,1.0,2
0.1658104012585459,0.0,0
0.207734214505591,0.0,1
0.26340848808284784,1.0,1
0.39001433036648914,1.0,2
0.15364547000727538,0.0,0
0.30550235119832064,1.0,1
0.203313881265596,0.0,1
0.18387687608823067,0.0,0
0.36782408723548077,0.0,2
0.20209676646387698,1.0,1
0.18633950452881945,0.0,0
0.2835202997539891,0.0,1
0.10039930306621214,0.0,0
0.20772938916523406,0.0,1
0.3096377073595142,0.0,1
0.0443858001226034,0.0,0
0.12457921344554526,0.0,0
0.21100332015818626,1.0,1
0.3581887554246956,0.0,2
0.6522422663601021,0.0,3
0.16226602605678067,0.0,0
0.0694242954698856,1.0,0
0.076848080809821,0.0,0
0.1744335165862888,0.0,0
0.5434537469656785,0.0,3
0.061653913446673224,0.0,0
0.23568650663126414,0.0,1
0.31329412667520323,0.0,1
0.15258331470398612,0.0,0
0.38688633601837824,0.0,2
0.4845897602554896,0.0,3
0.09593877797328496,0.0,0
0.3662241584833629,0.0,2
0.29837284269070247,0.0,1
0.2237663665214278,0.0,1
0.1642916485213648,1.0,0
0.46138582746288664,0.0,3
0.09832146075036968,0.0,0
0.179247512983417,0.0,0
0.34301873259799726,0.0,2
0.2746698380360602,0.0,1
0.4432945779277498,0.0,2
0.13272443189522465,1.0,0
0.4006430877209991,0.0,2
0.32259603850098684,1.0,2
0.2923618255131976,0.0,1
0.11357697325263676,0.0,0
0.34155895722546276,0.0,2
0.16999587395941756,0.0,0
0.8014732049023443,1.0,3
0.13177062408757453,1.0,0
0.12549965919150205,0.0,0
0.3370138954716539,0.0,2
0.03439862200520179,0.0,0
0.15937752033309405,0.0,0
0.2615158445906097,0.0,1
